esperanto,kanji,priority,source_root,source_line
sesi,会ˢ,0,sesi,3213
asemble,会ᴬ,0,asemble,3211
kanonik,会士,0,kanonik,5951
paraŝut,伞ᴾ,0,paraŝut,4297
umbel,伞ᵁ,0,umbel,4298
legend,传ᴸ,0,legend,3203
propagand,传ᴾ,0,propagand,3204
transmisi,传ᵀ,0,transmisi,3205
faks,传真,0,faks,6149
lez,伤ᴸ,0,lez,3073
apokrif,伪ᴬ,0,apokrif,2787
kamufl,伪ᴷ,0,kamufl,2785
pseŭdo,伪ᴾ,0,pseŭdo,2784
hipokrit,伪善,0,hipokrit,5899
akompan,伴ᴬ,0,akompan,2685
partner,伴ᴾ,0,partner,2686
analog,似ᴬ,0,analog,1724
oid,似ᴼ,0,oid,1723
apozici,位ᴬ,0,apozici,4311
bit,位ᴮ,0,bit,4309
lokaliz,位ᴸ,0,lokaliz,4310
pozici,位ᴾ,0,pozici,4308
homotet,位似,0,homotet,7025
depresi,低ᴰ,0,depresi,5781
bordun,低音,0,bordun,7174
dekolt,低领,0,dekolt,6322
domicil,住所,0,domicil,6573
sport,体ˢ,0,sport,1577
fart,体ᶠ,0,fart,1576
propriocept,体感,0,propriocept,7309
celom,体腔,0,celom,6443
kia,何a,0,kia,13
kie,何e,0,kie,14
kio,何o,0,kio,11
kiu,何u,0,kiu,12
kies,何之,0,kies,17
kial,何因,0,kial,18
kiam,何时,0,kiam,15
kiel,何样,0,kiel,19
kiom,何量,0,kiom,16
sald,余ˢ,0,sald,702
ceter,余ᶜ,0,ceter,701
aŭtor,作ᴬ,0,aŭtor,1727
operac,作战,0,operac,7534
ambasad,使ᴬ,0,ambasad,167
misi,使ᴹ,0,misi,170
nunci,使ᴺ,0,nunci,171
kaz,例ᴷ,0,kaz,1807
stevard,侍ˢ,0,stevard,3715
paĝi,侍ᴾ,0,pag^i,3714
ĉambelan,侍臣,0,c^ambelan,6484
liver,供ᴸ,0,liver,3756
proviz,供ᴾ,0,proviz,3757
tempi,侧头,0,tempi,6486
insult,侮ᴵ,0,insult,4031
markiz,侯ᴹ,0,markiz,4752
konstip,便秘,0,konstip,6066
negliĝ,便袍,0,neglig^,7433
forc,促ᶠ,0,forc,3886
sekular,俗ˢ,0,sekular,3252
banal,俗ᴮ,0,banal,3247
kiĉ,俗ᴷ,0,kic^,3251
laik,俗ᴸ,0,laik,3249
profan,俗ᴾ,0,profan,3250
filistr,俗ᶠ,0,filistr,3253
vulgar,俗ⱽ,0,vulgar,3248
slang,俗语,0,slang,7445
garanti,保ᴳ,0,garanti,3913
kaŭci,保ᴷ,0,kau^ci,3914
patron,保ᴾ,0,patron,3912
polis,保单,0,polis,6839
epistol,信ᴱ,0,epistol,792
leter,信ᴸ,0,leter,788
mesaĝ,信ᴹ,0,mesaĝ,789
cirkuler,信ᶜ,0,cirkuler,791
fid,信ᶠ,0,fid,787
akredit,信任,0,akredit,7530
kurier,信使,0,kurier,5530
fideikomis,信委,0,fideikomis,7055
fuz,信管,0,fuz,5987
trad,信风,0,trad,6454
orden,修会,0,orden,5915
pedikur,修脚,0,pedikur,6864
retorik,修辞,0,retorik,6212
klostr,修院,0,klostr,5988
epitet,修饰,0,epitet,7294
ploid,倍ᴾ,0,ploid,177
inversi,倒ᴵ,0,inversi,5983
pretekst,借口,0,pretekst,4312
merit,值ᴹ,0,merit,226
valor,值ⱽ,0,valor,225
inklin,倾ᴵ,0,inklin,183
tendenc,倾ᵀ,0,tendenc,184
dekant,倾析,0,dekant,6329
peruk,假发,0,peruk,6408
jodl,假声,0,jodl,7320
prud,假正,0,prud,5883
protez,假肢,0,protez,5750
bias,偏ᴮ,0,bias,5640
jor,偏ᴶ,0,jor,5639
ekscentrik,偏心,0,ekscentrik,7272
bigot,偏执,0,bigot,6264
stop,停ˢ,0,stop,1778
kape,停ᴷ,0,kape,1777
armistic,停战,0,armistic,7719
akcidenc,偶ᴬ,0,akcidenc,1756
eventual,偶ᴱ,0,eventual,1753
hazard,偶ᴴ,0,hazard,1752
kontingenc,偶ᴷ,0,kontingenc,1755
marionet,偶ᴹ,0,marionet,1754
idol,偶像,0,idol,5771
klepto,偷ᴷ,0,klepto,2633
marod,偷ᴹ,0,marod,2632
solvent,偿ˢ,0,solvent,5939
amortiz,偿ᴬ,0,amortiz,5938
ristorn,偿ᴿ,0,ristorn,5940
stok,储ˢ,0,stok,2698
