difeomorfi,微分同胚ᴰᴵ
he,喂ᴴᴱ
hoj,喂ᴴᴶ
laringolog,喉学家
anhel,喘ᴬᴺ
ŝat,喜ˢ̂
erupt,喷ᴱᵀ
metonimi,喻ᴹᴺ
ŝuŝ,嘶ˢ̂
organism,器主义
divertikulektomi,囊室除
cisticerk,囊尾虫
foliklit,囊炎ᶠ
kvaternar,四ᴷᵀ
tetramer,四链节
etiolog,因学家
aglomer,团ᴬᴸ
bolus,团ᴮˢ
kohort,团ᴷᴴ
perikardiit,围心炎
ŝtat,国ˢ̂
cirkonferenc,圆ᶜᴺ
paniklit,圆锥炎
saturn,土ˢᵀ
pedolog,土学家
sakral,圣ˢᴷ
ikonologi,圣像学
ikonoklast,圣像屑
ikonografi,圣像志
ikonostaz,圣像滞
ikonoskop,圣像镜
eŭkaristi,圣餐ᴱ
ĉe,在ᶜ̂
geografi,地ᴳᴳ
teren,地ᵀᴺ
topo,地ᵀᴾ
geokemi,地化学
geosinklinal,地向斜
topologi,地学ᵀ
geolog,地学家
geomorfologi,地形学
geokronologi,地时学
geotermik,地热学
geofizik,地物理
topograf,地记ᵀ
aren,场ᴬᴿ
iskiatalgi,坐神痛
fortik,坚ᶠᵀ
konfirmaci,坚信礼
prolaps,垂ᴾᴸ
perpendikular,垂ᴾᴿ
ptoz,垂ᴾᵀ
pituitari,垂体ᴾ
matric,型ᴹᵀ
tipografart,型记艺
redut,垒ᴿᴰ
bazament,基ᴮᴹ
okluzi,堵ᴼᴷ
plastik,塑ᴾᴷ
plasti,塑ᴾᴸ
ekolog,境学家
kriptonim,墓窖名
postament,墩ᴾˢ
foni,声ᶠᴵ
fonometr,声计ᶠ
karapac,壳ᴷᴾ
kartoĉ,壳ᴷᵀ
dispozici,处ᴰᶻ
himen,处女膜
procesor,处理器
prepar,备ᴾᴾ
kompleks,复ᴷˢ
komplik,复ᴷᴹ
restaŭr,复ᴿˢ
reprograf,复ᴿᴿ
recidiv,复ᴿᶜ
ekto,外ᴱᴷ
ekt,外ᴱᵀ
ekzo,外ᴱᶻ
ksen,外ᴷˢ
vulvit,外阴炎
plur,多ᴾᴿ
politeist,多神家
polisakarid,多蔗子
polimer,多链节
piment,多香果
violonĉel,大提琴
marmor,大理石
glicin,大豆ᴳ
seraf,天使ˢ
aspartat,天冬盐
observatori,天文台
uran,天王星
sfinglipid,天蛾脂
central,央ᶜᴸ
centromer,央链节
cefalaspidomorf,头甲形
klem,夹ᴷᴸ
klip,夹ᴷᴾ
femin,女ᶠᴱ
ginekolog,女学家
sopran,女高音
ŝmink,妆ˢ̂
putin,妓ᴾᵀ
prostituci,妓ᴾᶜ
komision,委ᴷᴺ
komitat,委ᴷᵀ
alpini,姜ᴬᴸ
etlinger,姜ᴱᵀ
kardamom,姜ᴷᴰ
aboc,字ᴬᴮ
ekzistencial,存ᴱᴺ
konservativ,存ᴷᵀ
ekzistencialism,存主义
ontologi,存在学
logi,学ᴸᴳ
lingvistik,学ᴸᴺ
kosmolog,宇学家
kosmonaŭtik,宇航学
garnizon,守ᴳᴺ
eŭtanazi,安乐死
benzo,安息香
mandaren,官ᴹᴺ
destin,定ᴰˢ
determin,定ᴰᵀ
reel,实ᴿᴱ
laboratori,实验室
reviz,审ᴿᴱ
revizor,审ᴿᴿ
deklaraci,宣ᴰᶜ
ependimit,室膜炎
kapacitanc,容ᴷᴺ
liberal,宽ᴸᴮ
larg,宽ᴸᴳ
parazitologi,寄生学
paraziticid,寄生杀
ĉifr,密ᶜ̂
kodon,密码子
alegori,寓ᴬᴸ
apolog,寓ᴬᴾ
oligomer,寡链节
kontrast,对ᴷˢ
troposfer,对流层
kondukt,导ᴷᵀ
ĉiĉeron,导ᶜ̂
hermet,封ᴴᴱ
ŝot,射ˢ̂
projekci,射ᴾᴿ
radiolog,射学家
radiofotografi,射拍志
aktinoterapi,射疗ᴬ
aktinometr,射计ᴬ
minor,小ᴹᴿ
serenad,小夜曲
vikun,小羊驼
uro,尿ᵁᴼ
urolog,尿学家
karbamid,尿素ᴷ
ureat,尿素盐
